id,runelite_const,comment
0,SWARM_WALK,
1,SWARM_ATTACK,
2,SWARM_BLOCK,
3,PAINTBALL,
4,PAINTSPLASH,
5,PAINTBALL_TRAVEL,
6,BOULDER_ROLLING,
7,LORE_BIRD_CHATHEAD_HAPPY,
8,LORE_BIRD_CHATHEAD_IDLE,
9,LORE_BIRD_CHATHEAD_QUIZICAL,
10,SHARK_WALK,
11,SHARK_DIVEDOWN,
12,SHARK_DIVEUP,
13,GHOSTHUMAN_WALK_FORWARD,
14,IBANSBOLTCASTING,
15,GHOSTHUMAN_READY,
16,DM_WALK,
17,DM_READY,
18,DM_ATTACK,
19,DM_BLOCK,
20,DM_DEATH,
21,BDRAG_WALK,
22,ANMA_CHOPPING_FAILED_TRAILBLAZER_AXE_NO_INFERNAL,
23,HUMAN_CANOEING_CARVE_TRAILBLAZER_AXE_NO_INFERNAL,
24,HUMAN_WOODCUTTING_TRAILBLAZER_AXE_NO_INFERNAL,
25,BDRAG_ATTACK,
26,BDRAG_BLOCK,
27,BDRAG_READY,
28,BDRAG_DEATH,
29,BAT_WALK,
30,BAT_ATTACK,
31,BAT_PARRY,
32,BAT_WALKBACKWARDS,
33,BAT_WALKLEFT,
34,BAT_WALKRIGHT,
35,BAT_READY,
36,BAT_DEATH,
37,BEAR_WALK,
38,BEAR_WALKBACKWARDS,
39,BEAR_WALKLEFT,
40,BEAR_WALKRIGHT,
41,BEAR_ATTACK,
42,BEAR_BLOCK,
43,BEAR_READY,
44,BEAR_DEATH,
45,CAMEL_WALK,
46,CAMEL_WALKBACKWARDS,
47,CAMEL_WALKLEFT,
48,CAMEL_WALKRIGHT,
49,CAMEL_ATTACK,
50,CAMEL_BLOCK,
51,CAMEL_READY,
52,CAMEL_DEATH,
53,CHICKEN_WALK,
54,CHICKEN_READY,
55,CHICKEN_ATTACK,
56,CHICKEN_BLOCK,
57,CHICKEN_DEATH,
58,COW_WALK,
59,COW_ATTACK,
60,COW_BLOCK,
61,COW_READY,
62,COW_DEATH,
63,DEMON_WALK,
64,DEMON_ATTACK,
65,DEMON_BLOCK,
66,DEMON_READY,
67,DEMON_DEATH,
68,DEMON_DEATH_GREATER,
69,DEMON_CASTING,
70,DEMON_PORTAL,
71,DEMON_PORTALEND,
72,DEMON_PORTALEND_REVERSE,
73,DEADTREE_ATTACK,
74,DOG_WALK,
75,DOG_ATTACK,
76,DOG_BLOCK,
77,DOG_READY,
78,DOG_DEATH,
79,DRAGON_WALK,
80,DRAGON_ATTACK,
81,DRAGON_FIREBREATH_ALL_ATTACK,
82,DRAGON_FIREBREATH_LEFT_ATTACK,
83,DRAGON_FIREBREATH_RIGHT_ATTACK,
84,DRAGON_FIREBREATH_MIDDLE_ATTACK,
85,HUMAN_WOODCRAFTING_AXE_TRAILBLAZER_NO_INFERNAL,
86,DRAGON_FIREBREATH_ATTACK,
