id,name,members,buy_limit,value,high_alch,low_alch,examine
2,Steel cannonball,1,11000,5,3,2,Ammo suited for a boat's cannon or for a dwarf multicannon.
6,Cannon base,1,70,187500,112500,75000,The cannon is built on this.
8,Cannon stand,1,70,187500,112500,75000,The mounting for the multicannon.
10,Cannon barrels,1,70,187500,112500,75000,The barrels of the multicannon.
12,Cannon furnace,1,70,187500,112500,75000,This powers the multicannon.
28,Insect repellent,1,15,3,1,1,Drives away all known 6 legged creatures.
30,Bucket of wax,1,15,6,3,2,It's a bucket of wax.
36,Candle,1,40,3,1,1,A candle.
39,Bronze arrowtips,1,10000,1,1,1,I can make some arrows with these.
40,Iron arrowtips,1,10000,2,1,1,I can make some arrows with these.
41,Steel arrowtips,1,10000,6,3,2,I can make some arrows with these.
42,Mithril arrowtips,1,10000,16,9,6,I can make some arrows with these.
43,Adamant arrowtips,1,10000,40,24,16,I can make some arrows with these.
44,Rune arrowtips,1,10000,200,120,80,I can make some arrows with these.
45,Opal bolt tips,1,11000,7,4,2,Opal bolt tips.
46,Pearl bolt tips,1,11000,12,7,4,Pearl bolt tips.
47,Barb bolttips,1,11000,95,57,38,I can make bolts with these.
48,Longbow (u),1,10000,60,36,24,I need to find a string for this.
50,Shortbow (u),1,10000,23,13,9,I need to find a string for this.
52,Arrow shaft,1,7000,1,1,1,A wooden arrow shaft.
53,Headless arrow,1,11000,1,1,1,A wooden arrow shaft with flights attached.
54,Oak shortbow (u),1,10000,50,30,20,An unstrung oak shortbow; I need a bowstring for this.
56,Oak longbow (u),1,10000,80,48,32,An unstrung oak longbow; I need a bowstring for this.
58,Willow longbow (u),1,10000,160,96,64,An unstrung willow longbow; I need a bowstring for this.
60,Willow shortbow (u),1,10000,100,60,40,An unstrung willow shortbow; I need a bowstring for this.
62,Maple longbow (u),1,10000,320,192,128,An unstrung maple longbow; I need a bowstring for this.
64,Maple shortbow (u),1,10000,200,120,80,An unstrung maple shortbow; I need a bowstring for this.
66,Yew longbow (u),1,10000,640,384,256,An unstrung yew longbow; I need a bowstring for this.
68,Yew shortbow (u),1,10000,400,240,160,An unstrung yew shortbow; I need a bowstring for this.
70,Magic longbow (u),1,10000,1280,768,512,An unstrung magic longbow; I need a bowstring for this.
72,Magic shortbow (u),1,10000,800,480,320,An unstrung magic shortbow; I need a bowstring for this.
91,Guam potion (unf),1,10000,3,1,1,I need another ingredient to finish this Guam potion.
93,Marrentill potion (unf),1,10000,5,3,2,I need another ingredient to finish this Marrentill potion.
95,Tarromin potion (unf),1,10000,11,6,4,I need another ingredient to finish this Tarromin potion.
97,Harralander potion (unf),1,10000,20,12,8,I need another ingredient to finish this Harralander potion.
99,Ranarr potion (unf),1,10000,25,15,10,I need another ingredient to finish this Ranarr potion.
101,Irit potion (unf),1,10000,40,24,16,I need another ingredient to finish this Irit potion.
103,Avantoe potion (unf),1,10000,48,28,19,I need another ingredient to finish this Avantoe potion.
105,Kwuarm potion (unf),1,10000,54,32,21,I need another ingredient to finish this Kwuarm potion.
107,Cadantine potion (unf),1,10000,65,39,26,I need another ingredient to finish this Cadantine potion.
109,Dwarf weed potion (unf),1,10000,70,42,28,I need another ingredient to finish this Dwarf Weed potion.
111,Torstol potion (unf),1,10000,25,15,10,I need another ingredient to finish this Torstol potion.
113,Strength potion(4),0,2000,14,8,5,4 doses of Strength potion.
115,Strength potion(3),0,2000,13,7,5,3 doses of Strength potion.
117,Strength potion(2),0,2000,13,7,5,2 doses of Strength potion.
119,Strength potion(1),0,2000,11,6,4,1 dose of Strength potion.
121,Attack potion(3),1,2000,12,7,4,3 doses of Attack potion.
123,Attack potion(2),1,2000,9,5,3,2 doses of Attack potion.
125,Attack potion(1),1,2000,6,3,2,1 dose of Attack potion.
127,Restore potion(3),1,2000,88,52,35,3 doses of restore potion.
129,Restore potion(2),1,2000,66,39,26,2 doses of restore potion.
131,Restore potion(1),1,2000,44,26,17,1 dose of restore potion.
133,Defence potion(3),1,2000,120,72,48,3 doses of Defence potion.
135,Defence potion(2),1,2000,90,54,36,2 doses of Defence potion.
137,Defence potion(1),1,2000,60,36,24,1 dose of Defence potion.
139,Prayer potion(3),1,2000,152,91,60,3 doses of Prayer restore potion.
141,Prayer potion(2),1,2000,114,68,45,2 doses of Prayer restore potion.
143,Prayer potion(1),1,2000,76,45,30,1 dose of Prayer restore potion.
145,Super attack(3),1,2000,180,108,72,3 doses of super Attack potion.
147,Super attack(2),1,2000,135,81,54,2 doses of super Attack potion.
149,Super attack(1),1,2000,90,54,36,1 dose of super Attack potion.
151,Fishing potion(3),1,2000,200,120,80,3 doses of Fishing potion.
153,Fishing potion(2),1,2000,150,90,60,2 doses of Fishing potion.
155,Fishing potion(1),1,2000,100,60,40,1 dose of Fishing potion.
157,Super strength(3),1,2000,220,132,88,3 doses of super Strength potion.
159,Super strength(2),1,2000,165,99,66,2 doses of super Strength potion.
161,Super strength(1),1,2000,110,66,44,1 dose of super Strength potion.
163,Super defence(3),1,2000,264,158,105,3 doses of super Defence potion.
165,Super defence(2),1,2000,198,118,79,2 doses of super Defence potion.
