group_class,child_const,group_id,child_id,packed_id,packed_hex
_100GuideEggsOverlay,UNIVERSE,0,0,0,0x00000000
_100GuideEggsOverlay,DODGER,0,1,1,0x00000001
_100GuideEggsOverlay,CONTENT,0,2,2,0x00000002
_100GuideEggsOverlay,_100_Q_ANIM5,0,3,3,0x00000003
_100GuideEggsOverlay,_100_Q5,0,4,4,0x00000004
_100GuideEggsOverlay,_100_EGG_ANIM5,0,5,5,0x00000005
_100GuideEggsOverlay,_100_EGG5,0,6,6,0x00000006
_100GuideEggsOverlay,_100_Q_ANIM4,0,7,7,0x00000007
_100GuideEggsOverlay,_100_Q4,0,8,8,0x00000008
_100GuideEggsOverlay,_100_EGG_ANIM4,0,9,9,0x00000009
_100GuideEggsOverlay,_100_EGG4,0,10,10,0x0000000a
_100GuideEggsOverlay,_100_Q_ANIM3,0,11,11,0x0000000b
_100GuideEggsOverlay,_100_Q3,0,12,12,0x0000000c
_100GuideEggsOverlay,_100_EGG_ANIM3,0,13,13,0x0000000d
_100GuideEggsOverlay,_100_EGG3,0,14,14,0x0000000e
_100GuideEggsOverlay,_100_Q_ANIM2,0,15,15,0x0000000f
_100GuideEggsOverlay,_100_Q2,0,16,16,0x00000010
_100GuideEggsOverlay,_100_EGG_ANIM2,0,17,17,0x00000011
_100GuideEggsOverlay,_100_EGG2,0,18,18,0x00000012
_100GuideEggsOverlay,_100_Q_ANIM1,0,19,19,0x00000013
_100GuideEggsOverlay,_100_Q1,0,20,20,0x00000014
_100GuideEggsOverlay,_100_EGG_ANIM1,0,21,21,0x00000015
_100GuideEggsOverlay,_100_EGG1,0,22,22,0x00000016
_100GuideFlourOverlay,UNIVERSE,1,0,65536,0x00010000
_100GuideFlourOverlay,DODGER,1,1,65537,0x00010001
_100GuideFlourOverlay,CONTENT,1,2,65538,0x00010002
_100GuideFlourOverlay,_100_FLOUR_Q_ANIM1,1,3,65539,0x00010003
_100GuideFlourOverlay,_100_FLOUR_Q1,1,4,65540,0x00010004
_100GuideFlourOverlay,_100_FLOUR_ANIM4,1,5,65541,0x00010005
_100GuideFlourOverlay,_100_FLOUR4,1,6,65542,0x00010006
_100GuideFlourOverlay,_100_FLOUR_ANIM2,1,7,65543,0x00010007
_100GuideFlourOverlay,_100_FLOUR2,1,8,65544,0x00010008
_100GuideFlourOverlay,_100_FLOUR_PLAIN_LAYER,1,9,65545,0x00010009
_100GuideFlourOverlay,_100_FLOUR_PLAIN,1,10,65546,0x0001000a
RangingguildTicketexchange,UNIVERSE,2,0,131072,0x00020000
RangingguildTicketexchange,FRAME,2,1,131073,0x00020001
RangingguildTicketexchange,ITEMS,2,2,131074,0x00020002
RangingguildTicketexchange,SCROLLBAR,2,3,131075,0x00020003
RangingguildTicketexchange,BOTTOM,2,4,131076,0x00020004
RangingguildTicketexchange,BOTTOM_GRAPHIC0,2,5,131077,0x00020005
RangingguildTicketexchange,VALUE,2,6,131078,0x00020006
RangingguildTicketexchange,_1,2,7,131079,0x00020007
RangingguildTicketexchange,_5,2,8,131080,0x00020008
RangingguildTicketexchange,X,2,9,131081,0x00020009
_100GuideMilkOverlay,UNIVERSE,3,0,196608,0x00030000
_100GuideMilkOverlay,DODGER,3,1,196609,0x00030001
_100GuideMilkOverlay,CONTENT,3,2,196610,0x00030002
_100GuideMilkOverlay,_100_MILK_Q_ANIM1,3,3,196611,0x00030003
_100GuideMilkOverlay,_100_MILK_Q1,3,4,196612,0x00030004
_100GuideMilkOverlay,_100_MILK_ANIM5,3,5,196613,0x00030005
_100GuideMilkOverlay,_100_MILK5,3,6,196614,0x00030006
_100GuideMilkOverlay,_100_MILK_ANIM4,3,7,196615,0x00030007
_100GuideMilkOverlay,_100_MILK4,3,8,196616,0x00030008
_100GuideMilkOverlay,_100_MILK_ANIM3,3,9,196617,0x00030009
_100GuideMilkOverlay,_100_MILK3,3,10,196618,0x0003000a
_100GuideMilkOverlay,_100_MILK_ANIM2,3,11,196619,0x0003000b
_100GuideMilkOverlay,_100_MILK2,3,12,196620,0x0003000c
_100GuideMilkOverlay,_100_MILK_ANIM1,3,13,196621,0x0003000d
_100GuideMilkOverlay,_100_MILK1,3,14,196622,0x0003000e
_100GuideMilkOverlay,_100_MILK_PLAIN_LAYER,3,15,196623,0x0003000f
_100GuideMilkOverlay,_100_MILK_PLAIN,3,16,196624,0x00030010
Deathkeep,UNIVERSE,4,0,262144,0x00040000
Deathkeep,FRAME,4,1,262145,0x00040001
Deathkeep,CONTENTS,4,2,262146,0x00040002
Deathkeep,TOPAREA,4,3,262147,0x00040003
Deathkeep,LEFT,4,4,262148,0x00040004
Deathkeep,ITEMS,4,5,262149,0x00040005
Deathkeep,KEPT,4,6,262150,0x00040006
Deathkeep,GRAVE,4,7,262151,0x00040007
Deathkeep,PKER,4,8,262152,0x00040008
Deathkeep,COINS,4,9,262153,0x00040009
Deathkeep,DELETED,4,10,262154,0x0004000a
Deathkeep,SCROLLBAR,4,11,262155,0x0004000b
Deathkeep,RIGHT,4,12,262156,0x0004000c
Deathkeep,RIGHT_TEXT0,4,13,262157,0x0004000d
