group_id,runelite_const
0,_100GUIDE_EGGS_OVERLAY
1,_100GUIDE_FLOUR_OVERLAY
2,RANGINGGUILD_TICKETEXCHANGE
3,_100GUIDE_MILK_OVERLAY
4,DEATHKEEP
5,AGILITYARENA_OVERLAY
6,SILVER_CRAFTING
7,CHATCHANNEL_CURRENT
8,AHOY_ISLANDMAP
9,AHOY_RUNEDRAW
10,AHOY_WINDSPEED
11,OBJECTBOX_DOUBLE
12,BANKMAIN
13,CORP_BEAST
14,BANKPIN_SETTINGS
15,BANKSIDE
16,OCULUS
17,TELENEXUS_TELEPORT
18,OSM_CONTROLS_GUIDE
19,TELENEXUS
20,BOND_PROMPT
21,RAIDS_CHALLENGE
22,KILLBOT
23,TOB_CHESTS
24,BARROWS_OVERLAY
25,BARROWS_PUZZLE
26,PIRATE_COMBILOCK
27,PILLORY
28,TOB_HUD
29,BLAST_FURNACE_PLAN_SCROLL
30,BLAST_FURNACE_TEMP_GAUGE
31,BOARDGAMES_CHALLENGE
32,BOARDGAMES_DRAUGHTS
33,BOARDGAMES_DRAUGHTS_OPTIONS
34,BOARDGAMES_DRAUGHTS_OVERLAY
35,JAD_CHALLENGE_SCOREBOARD
36,BOARDGAMES_RUNELINK
37,BOARDGAMES_RUNELINK_OPTIONS
38,BOARDGAMES_RUNELINK_OVERLAY
39,MESOVERLAY_EXIT
40,BOARDGAMES_RUNESQUARES
41,BOARDGAMES_RUNESQUARES_OPTIONS
42,BOARDGAMES_RUNESQUARES_OVERLAY
43,STAR_TELESCOPE_METEOR
44,BOARDGAMES_RUNEVERSI
45,BOARDGAMES_RUNEVERSI_OPTIONS
46,BOARDGAMES_RUNEVERSI_OVERLAY
47,STAR_NOTICEBOARD
48,BOB_LOCATOR_AMULET
49,ALUFT_COOKING
50,TOB_PARTYDETAILS
51,BROOCH_CLOSEUP
52,POH_BOARD
53,BURGH_MAP
54,CASTLEWARS_CATAPULT
55,CASTLEWARS_SCORE
56,CASTLEWARS_SHOPSIDE
57,CANOE_STATIONS_MAP
58,CASTLEWARS_STATUS_OVERLAY_SARADOMIN
59,CASTLEWARS_STATUS_OVERLAY_ZAMORAK
60,CHAT_BOTH
61,CAT_NAMING
62,CAVE_GOBLIN_MARKERS
63,CHAMPIONS_SCROLL
64,LEAGUE_RANK
65,CRM_SURPRISEPOPUP_SIDE
66,CRM_SURPRISEPOPUP_MAIN
67,ANMA_REWARD
68,SLAYER_PARTNER
69,WORLDSWITCHER
70,LETTERSCROLL
71,POH_LOADING
72,SAILING_MENU
73,TRAIL_REWARDSCREEN
74,GIM_RAFFLE
75,LUNAR_CONTACT_NPC
76,GROUPING
77,QUICKPRAYER
78,RAREITEMS_DIANGO
79,DOV_NIGHT
80,TOPLEVEL_SPECTATOR
81,WILDERNESS_LOOTINGBAG
82,TEXTFIELD_CSV
83,CASTLEWARS_TRADE
84,EQUIPMENT
85,EQUIPMENT_SIDE
86,TRAIL_MAP19
87,TRAIL_MAP18
88,CLANWARS_HUD
89,CLANWARS_GAMEOVER
90,PVP_ICONS
91,CLANWARS_SETUP
92,CLANWARS_CONFIRM
93,CLANWARS_VIEW
94,CHATCHANNEL_SETUP
95,MESSAGESCROLL_HANDWRITING_2
96,DARKNESS_DARK
97,DARKNESS_LIGHT
98,DARKNESS_MEDIUM
99,DEATH_DICE
100,TOURNAMENT_SUPPLIES
101,BRUT_FOUND_DOC
102,TRAIL_MAP24
103,PATTERN_NEXT
104,QIP_OBS_STARCHART
105,TGOD_GARDEN_1_LAKE_MAP
106,ZMI_BANK_PAYMENT
107,AGILITYARENA_REWARDS
108,CR_TUTORIAL
109,ACCOUNT
110,MY2ARM_BOATRIDE
111,EYEGLO_CHANGE_MACHINE
112,DWARF_ROCK_CANNON
113,DWARF_ROCK_SCHEMATICS
114,DWARF_ROCK_SCHEMATICS_CONTROL
115,TOURNAMENT_SUPPLIES_SIDE
116,SETTINGS_SIDE
117,ENAKH_FILM
118,ENAKH_SMOKE_OVERLAY
119,QUESTJOURNAL
120,TOURNAMENT_SIDEPANEL
121,KEYBINDING
122,XP_DROPS
123,FAIRY_CERTIFICATE
124,FAIRY_SYMPTOMS
125,FARMING_TOOLS
126,FARMING_TOOLS_SIDE
127,FAVOUR_KEYRING
128,HOSIDIUS_SEEDBOX
129,NZONE_LISTS
130,DEADMAN_TOURNAMENT_VIEWER
131,CASTLEWARS_WAITINGROOM
132,GARDEN_LIST
133,GARDEN_QUIZ
134,SETTINGS
135,AIDE_COMPASS
136,UNMORPH
137,XPDROPS_SETUP
138,GLIDERMAP
139,GNOMEBALL
