id,runelite_const,comment
0,TRAWLER_REWARDINV,
1,AXESHOP,
2,ARMOURSHOP,
3,GENERALSHOP1,
4,GENERALSHOP2,
5,RUNESHOP,
6,SWORDSHOP,
7,ARCHERYSHOP,
8,CLOTHESHOP,
9,STAFFSHOP,
10,HELMETSHOP,
11,SCIMITARSHOP,
12,LEGSSHOP,
13,GENERALSHOP3,
14,MININGSTORE,
15,SHIELDSHOP,
16,SKIRTSHOP,
17,GENERALSHOP4,
18,CHAMPIONSHOP,
19,MACESHOP,
20,FOODSHOP,
21,BATTLEAXESHOP,
22,CHAINMAILSHOP,
23,GENERALDWARF,
24,GENERALSHOP5,
25,MAGICSHOP,
26,GEMSHOP,
27,CRAFTINGSHOP,
28,GOLDSHOP,
29,BOOZESHOP,
30,FISHINGSHOP,
31,GENERALSHOP6,
32,CRAFTINGSHOP2,
33,RUNITESHOP,
34,GENERALSHOP7,
35,RUNEPLATESHOP,
36,DRAGONSWORDSHOP,
37,CHEAPRINGSHOP,
38,GENERALSHOP8,
39,_2HANDEDSHOP,
40,HERBLORESHOP,
41,TAXFREE,
42,PIZZABASESHOP,
43,FISHINGSHOP2,
44,FISHRESTAURANT,
45,DRAGONAXESHOP,
46,AMULETSHOP,
47,ARHEINSTORE,
48,CANDLESHOP,
49,ARCHERYSHOP2,
50,HERBLORESHOP2,
51,MEMBERSTAFFSHOP,
52,GEMSHOP2,
53,TOPSHOP,
54,BAKERY,
55,SILVERSHOP,
56,GEMSHOP3,
57,ADVENTURERSHOP,
58,SPICESHOP,
59,FURSHOP,
60,FISHINGGUILD,
61,KHAZARDSHOP,
62,GNOMESHOP,
63,FANCYCLOTHESSTORE,
64,MAGICGUILDSHOP,
65,JUNGLESTORE,
66,LATHASTRAININGSTORE,
67,COOKERYSHOP,
68,PICKAXESHOP,
69,TEASHOP,
70,GENERALSHOPOGRE,
71,HERBLORESHOPOGRE,
72,SILVERSTALL,
73,ARDOUGNEGEMSTALL,
74,SPICESTALL,
75,FURSTALL,
76,WYDINSTORE,
77,BEDABINCAMPSHOP,
78,SHANTAYSHOP,
79,MCANNONSHOP,
80,RANGING_GUILD_BOWSHOP,
81,RANGING_GUILD_ARMOURSHOP,
82,RANGING_GUILD_TRIBALSHOP,
83,GENERALLEGENDS,
84,LEGENDSGUILDSHOP,
85,SHILOFISHINGSHOP,
86,GNOMESHOP_ROMETTI,
87,GNOMESHOP_GULLUCK,
88,GNOMESHOP_HECK,
89,GNOMESHOP_HUDO,
90,TRADEOFFER,
91,PARTYROOM_DROPINV,
92,PARTYROOM_TEMPINV,
93,INV,
94,WORN,
95,BANK,
96,CRAFTING_MAKE_RINGS,
97,CRAFTING_MAKE_NECKLACES,
98,CRAFTING_MAKE_AMULETS,
99,BLURBERRYBAR,
100,GIANNERESTAURANT,
101,SMITHING_BRONZE1,
102,SMITHING_BRONZE2,
103,SMITHING_BRONZE3,
104,SMITHING_BRONZE4,
105,SMITHING_BRONZE5,
106,SMITHING_IRON1,
107,SMITHING_IRON2,
108,SMITHING_IRON3,
109,SMITHING_IRON4,
110,SMITHING_IRON5,
111,SMITHING_STEEL1,
112,SMITHING_STEEL2,
113,SMITHING_STEEL3,
114,SMITHING_STEEL4,
115,SMITHING_STEEL5,
116,SMITHING_MITHRIL1,
117,SMITHING_MITHRIL2,
118,SMITHING_MITHRIL3,
119,SMITHING_MITHRIL4,
120,SMITHING_MITHRIL5,
121,SMITHING_ADAMANT1,
122,SMITHING_ADAMANT2,
123,SMITHING_ADAMANT3,
124,SMITHING_ADAMANT4,
125,SMITHING_ADAMANT5,
126,SMITHING_RUNE1,
127,SMITHING_RUNE2,
128,SMITHING_RUNE3,
129,SMITHING_RUNE4,
130,SMITHING_RUNE5,
131,MAGEARENA_RUNESHOP,
132,MAGEARENA_STAFFSHOP,
133,DEATHKEEP,
134,DUELOFFER,
135,DUEL_ROTTENFRUITSHOP,
136,DUELWINNINGS,
137,APRILFOOLSHORSESHOP,
138,SHILOJUNGLESTORE,
139,UPASSGENERALSHOP,
140,TRAIL_PUZZLEINV,
141,TRAIL_REWARDINV,
142,DUELARROWS,
143,WEREWOLFSTORE1,
144,WEREWOLFSTORE2,
145,WEREWOLFGENERALSTORE,
146,CRAFTINGSHOP_FREE,
147,CRAFTINGSHOP2_FREE,
148,DEATH_GENERALSHOP,
149,DEATH_PUB,
150,SMITHING_BRONZE_CLAWS,
151,SMITHING_IRON_CLAWS,
152,SMITHING_STEEL_CLAWS,
153,SMITHING_MITHRIL_CLAWS,
154,SMITHING_ADAMANT_CLAWS,
155,SMITHING_RUNE_CLAWS,
156,TBWT_TIADECHE_FINAL_INVENTORY,
157,KARAMJA_FISHRESTAURANT,
158,TBWT_TAMAYU_FINAL_INVENTORY,
159,REGICIDE_GENERAL_SHOP,
160,REGICIDE_GENERAL_SHOP_2,
161,SKILL_GUIDE_FIREMAKING,
162,SKILL_GUIDE_AGILITY,
163,SKILL_GUIDE_COMBAT_WEAPONS,
164,SKILL_GUIDE_COMBAT_ARMOURS,
165,SKILL_GUIDE_COOKING_OVERALL,
166,SKILL_GUIDE_COOKING_OVERALL2,
167,SKILL_GUIDE_COOKING_MEAT,
168,SKILL_GUIDE_COOKING_BREAD,
169,SKILL_GUIDE_COOKING_CAKES,
170,SKILL_GUIDE_COOKING_PIZZAS,
171,SKILL_GUIDE_COOKING_PIES,
172,SKILL_GUIDE_COOKING_STEWS,
173,SKILL_GUIDE_COOKING_WINE,
174,SKILL_GUIDE_CRAFTING_LEATHER,
175,SKILL_GUIDE_CRAFTING_SPINNING,
176,SKILL_GUIDE_CRAFTING_POTTERY,
177,SKILL_GUIDE_CRAFTING_GLASS,
178,SKILL_GUIDE_CRAFTING_JEWELLERY,
179,SKILL_GUIDE_CRAFTING_STAFFS,
180,SKILL_GUIDE_FISHING,
181,SKILL_GUIDE_FLETCHING_BOWS,
182,SKILL_GUIDE_FLETCHING_ARROWS,
183,SKILL_GUIDE_FLETCHING_DARTS,
184,SKILL_GUIDE_FLETCHING_BOLTS,
185,SKILL_GUIDE_HERBLORE_HERBS,
186,SKILL_GUIDE_HERBLORE_POTIONS,
187,SKILL_GUIDE_MINING_ORES,
188,SKILL_GUIDE_MINING_PICKAXES,
189,SKILL_GUIDE_RANGED_BOWS,
190,SKILL_GUIDE_RANGED_THROWN,
191,SKILL_GUIDE_RANGED_ARMOUR,
192,SKILL_GUIDE_RUNECRAFTING,
193,SKILL_GUIDE_SMITHING_SMELTING,
194,SKILL_GUIDE_SMITHING_BRONZE,
195,SKILL_GUIDE_SMITHING_IRON,
196,SKILL_GUIDE_SMITHING_STEEL,
197,SKILL_GUIDE_SMITHING_MITHRIL,
198,SKILL_GUIDE_SMITHING_ADAMANT,
199,SKILL_GUIDE_SMITHING_RUNE,
200,SKILL_GUIDE_THIEVING_STALLS,
201,SKILL_GUIDE_THIEVING_PICKPOCKET,
202,SKILL_GUIDE_CRAFTING_ARMOUR,
203,SKILL_GUIDE_WOODCUTTING,
204,RAZMIREGENERALSTORE,
205,RAZMIREBUILDINGSTORE,
206,SKILL_GUIDE_MAGIC_ARMOUR,
207,TRAIL_PUZZLEHINTINV,
208,VIKING_CLOTHES_SHOP,
209,VIKING_BAR,
210,VIKING_WEAPONS_SHOP,
211,VIKING_GENERAL_STORE,
212,VIKING_FISHMONGER,
213,VIKING_FURSHOP,
214,LIGHTHOUSESHOP,
215,BOARDGAMES_BOARDINV,
216,BOARDGAMES_SIDEINV,
217,MISC_FISHMONGER,
218,MISC_GREENGROCER,
219,ETC_FISHMONGER,
220,ETC_GREENGROCER,
221,REINITIALISATION_INV,
222,REINITIALISATION_INV_INACTIVE,
223,MM_MAGIC_SHOP,
224,MM_SCIMITAR_SHOP,
225,MM_FOOD_SHOP,
226,MM_CRAFTING_SHOP,
227,MM_GENERAL_SHOP,
228,RANGINGGUILD_TRADE_TICKETS,
229,SKILL_GUIDE_SLAYER_MONSTERS,
230,SKILL_GUIDE_SLAYER_EQUIPMENT,
231,SLAYERSHOP,
232,MAGICGUILDSHOP2,
233,GENERALSHOP_PHASMATYS,
234,SKILL_GUIDE_COOKING_HOTDRINKS,
235,AHOY_GENERALSHOP,
236,WILDERNESSCAPESHOP1,
237,WILDERNESSCAPESHOP2,
238,WILDERNESSCAPESHOP3,
239,WILDERNESSCAPESHOP4,
240,WILDERNESSCAPESHOP5,
241,WILDERNESSCAPESHOP6,
242,WILDERNESSCAPESHOP7,
243,WILDERNESSCAPESHOP8,
244,WILDERNESSCAPESHOP9,
245,WILDERNESSCAPESHOP10,
246,CASTLEWARS_TRADE_TICKETS,
247,CASTLEWARS_TRADE_COINS,
248,SMITHING_LAMP_IRON,
