id,name,runelite_const,config_name,members,tradeable,ge_tradeable,stackable,noted_id,placeholder_id,value,high_alch,low_alch,ge_buy_limit,weight_g,inventory_ops,ground_ops,examine,params
0,Dwarf remains,MCANNONREMAINS,mcannonremains,1,0,0,0,,17851,1,,,,16000,Destroy,Take,The body of a Dwarf savaged by Goblins.,
1,Toolkit,MCANNONTOOLKIT,mcannontoolkit,1,0,0,0,,17852,1,,,,453,Destroy,Take,Good for repairing broken cannons.,
2,Steel cannonball,MCANNONBALL,mcannonball,1,1,1,1,,17853,5,3,2,11000,0,Drop,Take,Ammo suited for a boat's cannon or for a dwarf multicannon.,"{""2456"":8085}"
3,Nulodion's notes,NULODIONS_NOTES,nulodions_notes,1,0,0,0,,17854,1,,,,28,Read|Destroy,Take,Construction notes for Dwarf cannon ammo.,
4,Ammo mould,AMMO_MOULD,ammo_mould,1,0,0,0,,17855,5,,,,4535,Drop,Take,Used to make cannon ammunition.,
5,Instruction manual,MCANNONBOOK,mcannonbook,1,0,0,0,,17856,10,,,,510,Read|Drop,Take,An old note book.,
6,Cannon base,TWPART1,twpart1,1,1,1,0,7,17857,187500,112500,75000,70,10000,Set-up|Drop,Take,The cannon is built on this.,
7,null,Cert.TWPART1,cert_twpart1,0,1,0,0,6,-1,1,,,,0,Drop,Take,,
8,Cannon stand,TWPART2,twpart2,1,1,1,0,9,17858,187500,112500,75000,70,907,Drop,Take,The mounting for the multicannon.,
9,null,Cert.TWPART2,cert_twpart2,0,1,0,0,8,-1,1,,,,0,Drop,Take,,
10,Cannon barrels,TWPART3,twpart3,1,1,1,0,11,17859,187500,112500,75000,70,15000,Drop,Take,The barrels of the multicannon.,
11,null,Cert.TWPART3,cert_twpart3,0,1,0,0,10,-1,1,,,,0,Drop,Take,,
12,Cannon furnace,TWPART4,twpart4,1,1,1,0,13,17860,187500,112500,75000,70,5000,Drop,Take,This powers the multicannon.,
13,null,Cert.TWPART4,cert_twpart4,0,1,0,0,12,-1,1,,,,0,Drop,Take,,
14,Railing,MCANNONRAILING1_OBJ,mcannonrailing1_obj,1,0,0,1,,17861,1,,,,0,Drop,Take,A metal railing replacement.,
15,Holy table napkin,HOLY_TABLE_NAPKIN,holy_table_napkin,1,0,0,0,,16938,10,,,,28,Drop,Take,A cloth given to me by Sir Galahad.,
16,Magic whistle,MAGIC_WHISTLE,magic_whistle,1,0,0,0,,16939,10,,,,5,Blow|Drop,Take,A small tin whistle.,
17,Grail bell,GRAIL_BELL,grail_bell,1,0,0,0,,16940,10,,,,28,Ring|Drop,Take,I wonder what happens when I ring it?,
18,Magic gold feather,MAGIC_GOLDEN_FEATHER,magic_golden_feather,1,0,0,0,,16941,2,,,,5,Blow-on|Drop,Take,It will point the way for me.,
19,Holy grail,HOLY_GRAIL,holy_grail,1,0,0,0,,16942,3,,,,85,Destroy,Take,A holy and powerful artefact.,
20,White cog,WHITECOG,whitecog,1,0,0,0,,16599,1,,,,1000,Drop,Take,A cog from some machinery.,
21,Black cog,BLACKCOG,blackcog,1,0,0,0,,16600,1,,,,1000,Drop,Take,A cog from some machinery.,
22,Blue cog,BLUECOG,bluecog,1,0,0,0,,16601,1,,,,1000,Drop,Take,A cog from some machinery.,
23,Red cog,REDCOG,redcog,1,0,0,0,,16602,1,,,,1000,Drop,Take,A cog from some machinery.,
