id,name,runelite_const,config_name,combat_level,size,on_minimap,is_follower,ops,stat_attack,stat_defence,stat_strength,stat_hitpoints,stat_ranged,stat_magic,varbit_id,varp_id,multi_children,category,params
0,Tool Leprechaun,FARMING_TOOLS_LEPRECHAUN,farming_tools_leprechaun,0,1,1,0,Talk-to|Exchange|Deposit-all,1,1,1,1,1,1,,,,236,
1,Molanisk,MOLANISK,molanisk,51,1,1,0,Attack,40,50,40,52,1,0,,,,0,"{""50"":87,""5"":45,""6"":45,""7"":35,""8"":30}"
2,Aberrant spectre,SLAYER_ABBERANT_SPECTRE_1,slayer_abberant_spectre_1,96,2,1,0,Attack,1,90,1,90,1,105,,,,190,"{""50"":41,""5"":20,""6"":20,""7"":20,""26"":5}"
3,Aberrant spectre,SLAYER_ABBERANT_SPECTRE_2,slayer_abberant_spectre_2,96,2,1,0,Attack,1,90,1,90,1,105,,,,190,"{""50"":41,""5"":20,""6"":20,""7"":20,""26"":5}"
4,Aberrant spectre,SLAYER_ABBERANT_SPECTRE_3,slayer_abberant_spectre_3,96,2,1,0,Attack,1,90,1,90,1,105,,,,190,"{""50"":41,""5"":20,""6"":20,""7"":20,""26"":5}"
5,Aberrant spectre,SLAYER_ABBERANT_SPECTRE_4,slayer_abberant_spectre_4,96,2,1,0,Attack,1,90,1,90,1,105,,,,190,"{""50"":41,""5"":20,""6"":20,""7"":20,""26"":5}"
6,Aberrant spectre,SLAYER_ABERRANTSPECTRE_1_STRONGHOLDCAVE,slayer_aberrantspectre_1_strongholdcave,96,2,1,0,Attack,1,90,1,90,1,105,,,,190,"{""50"":41,""5"":20,""6"":20,""7"":20,""26"":5}"
7,Aberrant spectre,SLAYER_ABERRANTSPECTRE_2_STRONGHOLDCAVE,slayer_aberrantspectre_2_strongholdcave,96,2,1,0,Attack,1,90,1,90,1,105,,,,190,"{""50"":41,""5"":20,""6"":20,""7"":20,""26"":5}"
8,Nechryael,SLAYER_NECHRYAEL,slayer_nechryael,115,1,1,0,Attack,97,105,97,105,1,1,,,,203,"{""50"":52,""5"":20,""6"":20,""7"":20,""26"":2,""46"":25772}"
9,Skylark,SAILING_SKYLARK,sailing_skylark,0,1,1,0,,1,1,1,1,1,1,,,,0,
10,Death spawn,SLAYER_NECHRYAEL_SPAWN,slayer_nechryael_spawn,46,1,1,0,Attack,67,30,7,60,1,1,,,,0,"{""5"":20,""6"":20,""7"":20,""26"":1,""46"":25766}"
11,Nechryael,SLAYER_NECHRYAEL_STRONGHOLDCAVE,slayer_nechryael_strongholdcave,115,1,1,0,Attack,97,105,97,105,1,1,,,,203,"{""50"":52,""5"":20,""6"":20,""7"":20,""26"":2,""46"":25772}"
12,Hudo,GNOME_HUDO,gnome_hudo,0,1,1,0,Talk-to|Trade,1,1,1,1,1,1,,,,0,
13,Piles,WILDERNESS_RESOURCE_CERTER,wilderness_resource_certer,0,1,1,0,Talk-to,1,1,1,1,1,1,,,,0,
14,Rometti,GNOME_ROMETTI,gnome_rometti,0,1,1,0,Talk-to|Trade,1,1,1,1,1,1,,,,0,
15,Gulluck,GNOME_GULLUCK,gnome_gulluck,0,1,1,0,Talk-to|Trade,1,1,1,1,1,1,,,,0,
16,Heckel Funch,GNOME_HECKELFUNCH,gnome_heckelfunch,0,1,1,0,Talk-to|Trade,1,1,1,1,1,1,,,,0,
17,Rug Merchant,MAGIC_CARPET_SELLER1,magic_carpet_seller1,0,1,1,0,Talk-to|Travel,1,1,1,1,1,1,,,,204,
18,Rug Merchant,MAGIC_CARPET_SELLER2,magic_carpet_seller2,0,1,1,0,Talk-to|Travel,1,1,1,1,1,1,,,,204,
19,Rug Merchant,MAGIC_CARPET_SELLER3,magic_carpet_seller3,0,1,1,0,Talk-to|Travel,1,1,1,1,1,1,,,,204,
20,Rug Merchant,MAGIC_CARPET_SELLER4,magic_carpet_seller4,0,1,1,0,Talk-to|Travel,1,1,1,1,1,1,,,,204,
21,null,MAGIC_CARPET_SELLER5,magic_carpet_seller5,1,1,1,0,Talk-to|Travel,1,1,1,1,1,1,346,,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1]",204,
22,Rug Merchant,MAGIC_CARPET_SELLER8,magic_carpet_seller8,0,1,1,0,Talk-to|Travel,1,1,1,1,1,1,,,,204,
