id,name,runelite_const,config_name,size_x,size_y,ops,blocks_projectile,obstructs_ground,wall_or_door,varbit_id,varp_id,multi_children,category,map_scene_id
0,null,MCANNONREMAINS_MULTILOC,mcannonremains_multiloc,1,1,,1,0,1,,0,"[-1,-1,-1,15596,-1]",0,
1,Crate,MCANNONCRATEBOY,mcannoncrateboy,1,1,Search,1,0,1,,,,497,
2,Cave Entrance,MCANNONCAVE,mcannoncave,4,2,Enter,1,0,1,,,,0,
3,Door,MCANNONDOOR,mcannondoor,1,1,Open,1,0,1,,,,0,
4,Door,MCANNONDOOR1,mcannondoor1,1,1,Open,1,0,1,,,,0,
5,Broken multicannon,BROKEN_MULTICANNON,broken_multicannon,3,3,Inspect,1,0,1,,,,0,
6,Dwarf multicannon,DWARF_MULTICANNON1,dwarf_multicannon1,3,3,Fire|Pick-up|Empty|Load X,0,0,1,,,,1522,
7,Cannon base,MULTICANNON_BASE,multicannon_base,3,3,Pick-up,0,0,1,,,,1522,
8,Cannon stand,MULTICANNON_STAND,multicannon_stand,3,3,Pick-up,0,0,1,,,,1522,
9,Cannon barrels,MULTICANNON_BARRELS,multicannon_barrels,3,3,Pick-up,0,0,1,,,,1522,
10,Ladder,MCANNONLADDER2,mcannonladder2,1,1,Climb-down,1,0,1,,,,0,7
11,Ladder,MCANNONLADDER,mcannonladder,1,1,Climb-up,1,0,1,,,,0,7
12,Rock pile,MCANNONROCK,mcannonrock,1,1,Climb-over,1,0,1,,,,0,
13,Mud pile,MCANMUDPILE,mcanmudpile,1,2,Climb-over,0,0,1,,,,0,7
14,Railing,MCANNONPLAIN,mcannonplain,1,1,Inspect,0,0,1,,,,0,
15,Railing,MCANNONRAILING1,mcannonrailing1,1,1,Inspect,0,0,1,,,,0,
16,Railing,MCANNONRAILING2,mcannonrailing2,1,1,Inspect,0,0,1,,,,0,
17,Railing,MCANNONRAILING3,mcannonrailing3,1,1,Inspect,0,0,1,,,,0,
18,Railing,MCANNONRAILING4,mcannonrailing4,1,1,Inspect,0,0,1,,,,0,
19,Railing,MCANNONRAILING5,mcannonrailing5,1,1,Inspect,0,0,1,,,,0,
20,Railing,MCANNONRAILING6,mcannonrailing6,1,1,Inspect,0,0,1,,,,0,
21,Mysterious statue,JUNGLESTATUE,junglestatue,4,4,,1,0,1,,,,0,
22,Door,WHISTLEDOOR,whistledoor,1,1,Open,1,0,1,,,,0,
23,Sacks,PERCY_SACKS,percy_sacks,1,1,Prod|Open,1,0,1,,,,0,
24,Door,MERLINWORKSHOP,merlinworkshop,1,1,Open,1,0,1,,,,0,
25,Clock spindle,CLOCKPOLE_RED,clockpole_red,1,1,,1,0,1,,,,0,
26,Clock spindle,CLOCKPOLE_BLACK,clockpole_black,1,1,,1,0,1,,,,0,
27,Clock spindle,CLOCKPOLE_WHITE,clockpole_white,1,1,,1,0,1,,,,0,
28,Clock spindle,CLOCKPOLE_BLUE,clockpole_blue,1,1,,1,0,1,,,,0,
29,Clock spindle,BROKECLOCKPOLE_RED,brokeclockpole_red,1,1,,1,0,1,,,,0,
