id,runelite_const,comment
0,SOUL_WARS_IMMUNE,
1,FIREBREATH_ATTACK,
2,OSB8_SKILLCAPE_BANANA_SPOTANIM,
3,TEMPOROSS_FISHING_SPOTANIM,
4,PORTAL,
5,PORTALEND,
6,GIANTSPIDER_TELEPORT,
7,GIANT_TELEPORT,
8,WHIPPINGPLANT_ATTACK,
9,IRON_ARROW_TRAVEL,
10,BRONZE_ARROW_TRAVEL,
11,STEEL_ARROW_TRAVEL,
12,MITHRIL_ARROW_TRAVEL,
13,ADAMANT_ARROW_TRAVEL,
14,BLACK_ARROW_TRAVEL,
15,RUNE_ARROW_TRAVEL,
16,ICE_ARROW_TRAVEL,
17,FIRE_ARROW_TRAVEL,
18,IRON_ARROW_LAUNCH,
19,BRONZE_ARROW_LAUNCH,
20,STEEL_ARROW_LAUNCH,
21,MITHRIL_ARROW_LAUNCH,
22,ADAMANT_ARROW_LAUNCH,
23,BLACK_ARROW_LAUNCH,
24,RUNE_ARROW_LAUNCH,
25,ICE_ARROW_LAUNCH,
26,FIRE_ARROW_LAUNCH,
27,CROSSBOWBOLT_TRAVEL,
28,DRAGON_TKNIFE_TRAVEL,
29,ROTTEN_TOMATO_TRAVEL,
30,ROTTEN_TOMATO_LAUNCH,
31,ROTTEN_SPLASH,
32,DWARF_STONE_THROW_TRAVEL,
33,DWARF_STONE_THROW_LAUNCH,
34,BLACK_DART_TRAVEL,
35,IRON_TAXE_TRAVEL,
36,BRONZE_TAXE_TRAVEL,
37,STEEL_TAXE_TRAVEL,
38,MITHRIL_TAXE_TRAVEL,
39,ADAMANT_TAXE_TRAVEL,
40,OLM_CRYSTAL_BOMB_EXPLODE,
41,RUNE_TAXE_TRAVEL,
42,IRON_TAXE_LAUNCH,
43,BRONZE_TAXE_LAUNCH,
44,STEEL_TAXE_LAUNCH,
45,MITHRIL_TAXE_LAUNCH,
46,ADAMANT_TAXE_LAUNCH,
47,COOKING_MAKE_WINE_SPOTANIM,
48,RUNE_TAXE_LAUNCH,
49,VIAL_TRAVEL,
50,VIAL_LAUNCH,
51,ENCHANTED_VIAL_TRAVEL,
52,ENCHANTED_VIAL_LAUNCH,
53,CANNONBALL_TRAVEL,
54,FIREBREATH_TRAVEL,
55,GNOMEBALL_TRAVEL,
56,RAIDS_VANGUARD_SWIRL_LOW_HEALTH_SPOTANIM,
57,RAIDS_VANGUARD_SWIRL_HIGH_HEALTH_SPOTANIM,
58,BLOOD_VIAL_TRAVEL,
59,WHIRLPOOL,
60,ROCKFALL,
61,SWINGINGLOGTRAP_RELEASE,
62,SPEARTRAP_RELEASE,
63,SPRINGTRAP_RELEASE,
64,SPRINGTRAP_RESET,
65,DOUBLE_SPRINGTRAP_RELEASE,
66,DOUBLE_SPRINGTRAP_RESET,
67,ROPE_PIECE,
68,WATERSPLASH,
69,LAVASPLASH,
70,CATAPULTLOAD,
71,CATAPULTIMPACT,
72,BIOPIGEON_LAUNCH,
73,SLAYER_DUSTDEVIL_DUST,
74,GOBLIN_RPG_LAUNCH,
75,SLAYER_COCKATRICE_ZAP,
76,SARADOMIN_LIGHTNING,
77,GUNTHIX_CLAW,
78,ZAMORAK_FLAME,
79,GNOME_GLOBES,
80,STUNNED,
81,BULLROARER,
82,ZAP,
83,IBANSBOLT,
84,HEAL_CASTING,
85,FAILEDSPELL_IMPACT,
86,SMOKEPUFF,
87,IBANBLAST_CASTING,
88,IBANBLAST_TRAVEL,
89,IBANBLAST_IMPACT,
90,WINDSTRIKE_CASTING,
91,WINDSTRIKE_TRAVEL,
92,WINDSTRIKE_IMPACT,
93,WATERSTRIKE_CASTING,
94,WATERSTRIKE_TRAVEL,
95,WATERSTRIKE_IMPACT,
96,EARTHSTRIKE_CASTING,
97,EARTHSTRIKE_TRAVEL,
98,EARTHSTRIKE_IMPACT,
99,FIRESTRIKE_CASTING,
100,FIRESTRIKE_TRAVEL,
101,FIRESTRIKE_IMPACT,
102,CONFUSE_CASTING,
103,CONFUSE_TRAVEL,
104,CONFUSE_IMPACT,
105,WEAKEN_CASTING,
106,WEAKEN_TRAVEL,
107,WEAKEN_IMPACT,
108,CURSE_CASTING,
109,CURSE_TRAVEL,
110,CURSE_IMPACT,
111,TELEPORT_CASTING,
112,LOWLVLALCHEMY_CASTING,
113,HIGHLVLALCHEMY_CASTING,
114,ENCHANT_AMULET_LVL1,
115,ENCHANT_AMULET_LVL2,
116,ENCHANT_AMULET_LVL3,
117,WINDBOLT_CASTING,
118,WINDBOLT_TRAVEL,
119,WINDBOLT_IMPACT,
120,WATERBOLT_CASTING,
121,WATERBOLT_TRAVEL,
122,WATERBOLT_IMPACT,
123,EARTHBOLT_CASTING,
124,EARTHBOLT_TRAVEL,
125,EARTHBOLT_IMPACT,
126,FIREBOLT_CASTING,
127,FIREBOLT_TRAVEL,
128,FIREBOLT_IMPACT,
129,FIREBLAST_CASTING,
130,FIREBLAST_TRAVEL,
131,FIREBLAST_IMPACT,
132,WINDBLAST_CASTING,
133,WINDBLAST_TRAVEL,
134,WINDBLAST_IMPACT,
135,WATERBLAST_CASTING,
136,WATERBLAST_TRAVEL,
137,WATERBLAST_IMPACT,
138,EARTHBLAST_CASTING,
139,EARTHBLAST_TRAVEL,
140,EARTHBLAST_IMPACT,
141,BONESTOBANANAS_CASTING,
142,TELEGRAB_CASTING,
143,TELEGRAB_TRAVEL,
144,TELEGRAB_IMPACT,
145,CRUMBLEUNDEAD_CASTING,
146,CRUMBLEUNDEAD_TRAVEL,
147,CRUMBLEUNDEAD_IMPACT,
148,SUPERHEATITEM_CASTING,
149,CHARGEWATERORB_CASTING,
150,CHARGEWINDORB_CASTING,
151,CHARGEEARTHORB_CASTING,
152,CHARGEFIREORB_CASTING,
153,ENCHANT_AMULET2_LVL4,
154,ENCHANT_AMULET2_LVL5,
155,FIREWAVE_CASTING,
156,FIREWAVE_TRAVEL,
157,FIREWAVE_IMPACT,
158,WINDWAVE_CASTING,
159,WINDWAVE_TRAVEL,
160,WINDWAVE_IMPACT,
161,WATERWAVE_CASTING,
162,WATERWAVE_TRAVEL,
163,WATERWAVE_IMPACT,
164,EARTHWAVE_CASTING,
165,EARTHWAVE_TRAVEL,
166,EARTHWAVE_IMPACT,
167,VULNERABILITY_CASTING,
168,VULNERABILITY_TRAVEL,
169,VULNERABILITY_IMPACT,
170,ENFEEBLE_CASTING,
171,ENFEEBLE_TRAVEL,
172,ENFEEBLE_IMPACT,
173,STUN_CASTING,
174,STUN_TRAVEL,
175,STUN_IMPACT,
176,EXPLODINGVIAL,
177,ENTANGLE_CASTING,
178,ENTANGLE_TRAVEL,
179,ENTANGLE_IMPACT,
180,SNARE_IMPACT,
181,BIND_IMPACT,
182,BALLISTA_TRAVEL,
183,BALLISTA_END,
184,SHILOMIST,
185,SHOOTING_STAR,
186,RUNECRAFTING,
187,UPASS_CLAW,
188,SMOKEPUFF_LARGE,
189,SMOKEPUFF_HUGE,
190,HUGESPIDER_TELEPORT_REVERSE,
191,HUGE_TELEPORT_REVERSE,
192,HOLY_WATER_TRAVEL,
193,HOLY_WATER_LAUNCH,
194,NEZIK_FLAMESTRIKE_CASTING,
195,NEZIK_FLAMESTRIKE_TRAVEL,
196,NEZIK_FLAMESTRIKE_IMPACT,
197,NEZIK_FLAMESTRIKE,
198,BOOKOFBINDING_EFFECT,
199,LEVELUP_ANIM,
200,BRONZE_JAVELIN_TRAVEL,
201,IRON_JAVELIN_TRAVEL,
202,STEEL_JAVELIN_TRAVEL,
203,MITHRIL_JAVELIN_TRAVEL,
204,ADAMANT_JAVELIN_TRAVEL,
205,RUNE_JAVELIN_TRAVEL,
206,MM2_KRUK_NINJASTAR,
207,MONKEY_HUNTING_RUN,
208,MONKEY_HUNTING_RUN_SANS_TAIL,
209,II_IMPLING11_ESCAPE,
210,II_IMPLING11_KICK,
211,II_IMPLING11_TRAVEL,
212,BRONZE_TKNIFE_TRAVEL,
213,IRON_TKNIFE_TRAVEL,
214,STEEL_TKNIFE_TRAVEL,
215,BLACK_TKNIFE_TRAVEL,
216,MITHRIL_TKNIFE_TRAVEL,
217,ADAMANT_TKNIFE_TRAVEL,
218,RUNE_TKNIFE_TRAVEL,
219,BRONZE_TKNIFE_LAUNCH,
220,IRON_TKNIFE_LAUNCH,
221,STEEL_TKNIFE_LAUNCH,
