id,runelite_const,comment
0,_2XStandardSpellsOn._0,
1,_2XStandardSpellsOn._1,
2,_2XStandardSpellsOn._2,
3,_2XStandardSpellsOn._3,
4,BACKLEFT1,
5,_2XStandardSpellsOn._4,
6,_2XStandardSpellsOn._5,
7,_2XStandardSpellsOn._6,
8,_2XStandardSpellsOn._7,
9,_2XStandardSpellsOn._8,
10,_2XStandardSpellsOn._9,
11,_2XStandardSpellsOn._10,
12,MAPBACK,
13,_2XStandardSpellsOn._11,
14,_2XStandardSpellsOn._12,
15,Magicon._0,
16,Magicon._1,
17,Magicon._2,
18,Magicon._3,
19,Magicon._4,
20,Magicon._5,
21,Magicon._6,
22,Magicon._7,
23,Magicon._8,
24,Magicon._9,
25,Magicon._10,
26,Magicon._11,
27,Magicon._12,
28,Magicon._13,
29,Magicon._14,
30,Magicon._15,
31,Magicon._16,
32,Magicon._17,
33,Magicon._18,
34,Magicon._19,
35,Magicon._20,
36,Magicon._21,
37,Magicon._22,
38,Magicon._23,
39,Magicon._24,
40,Magicon._25,
41,Magicon._26,
42,Magicon._27,
43,Magicon._28,
44,Magicon._29,
45,Magicon._30,
46,Magicon._31,
47,Magicon._32,
48,Magicon._33,
49,Magicon._34,
50,Magicon._35,
51,Magicon._36,
52,Magicon._37,
53,Magicon._38,
54,Magicon._39,
55,Magicon._40,
56,Magicon._41,
57,Magicon._42,
58,Magicon._43,
59,Magicon._44,
60,Magicon._45,
61,Magicon._46,
62,Magicon._47,
63,Magicon._48,
64,Magicon._49,
65,Magicoff._0,
66,Magicoff._1,
67,Magicoff._2,
68,Magicoff._3,
69,Magicoff._4,
70,Magicoff._5,
71,Magicoff._6,
72,Magicoff._7,
73,Magicoff._8,
74,Magicoff._9,
75,Magicoff._10,
76,Magicoff._11,
77,Magicoff._12,
78,Magicoff._13,
79,Magicoff._14,
80,Magicoff._15,
81,Magicoff._16,
82,Magicoff._17,
83,Magicoff._18,
84,Magicoff._19,
85,Magicoff._20,
86,Magicoff._21,
87,Magicoff._22,
88,Magicoff._23,
89,Magicoff._24,
90,Magicoff._25,
91,Magicoff._26,
92,Magicoff._27,
93,Magicoff._28,
94,Magicoff._29,
95,Magicoff._30,
96,Magicoff._31,
97,Magicoff._32,
98,Magicoff._33,
99,Magicoff._34,
100,Magicoff._35,
101,Magicoff._36,
102,Magicoff._37,
103,Magicoff._38,
104,Magicoff._39,
105,Magicoff._40,
106,Magicoff._41,
107,Magicoff._42,
108,Magicoff._43,
109,Magicoff._44,
110,Magicoff._45,
111,Magicoff._46,
112,Magicoff._47,
113,Magicoff._48,
114,Magicoff._49,
115,Prayeron._0,
116,Prayeron._1,
117,Prayeron._2,
118,Prayeron._3,
119,Prayeron._4,
120,Prayeron._5,
121,Prayeron._6,
122,Prayeron._7,
123,Prayeron._8,
124,Prayeron._9,
125,Prayeron._10,
126,Prayeron._11,
127,Prayeron._12,
128,Prayeron._13,
129,Prayeron._14,
130,Prayeron._15,
131,Prayeron._16,
132,Prayeron._17,
133,Prayeron._18,
134,Prayeron._19,
135,Prayeroff._0,
136,Prayeroff._1,
137,Prayeroff._2,
138,Prayeroff._3,
139,Prayeroff._4,
140,Prayeroff._5,
141,Prayeroff._6,
142,Prayeroff._7,
143,Prayeroff._8,
144,Prayeroff._9,
145,Prayeroff._10,
146,Prayeroff._11,
147,Prayeroff._12,
148,Prayeroff._13,
149,Prayeroff._14,
150,Prayeroff._15,
151,Prayeroff._16,
152,Prayeroff._17,
153,Prayeroff._18,
154,Prayeroff._19,
155,GeItembackdrop._2,
156,Wornicons._0,
157,Wornicons._1,
158,Wornicons._2,
159,Wornicons._3,
160,Wornicons._4,
161,Wornicons._5,
162,Wornicons._6,
163,Wornicons._7,
164,Wornicons._8,
165,Wornicons._9,
166,Wornicons._10,
167,Wornicons._11,
168,SideIcons._0,
169,COMPASS,
170,Miscgraphics._0,
171,Miscgraphics._1,
172,Miscgraphics._2,
173,Miscgraphics._3,
174,Miscgraphics._4,
175,Miscgraphics._5,
176,Miscgraphics._6,
177,Miscgraphics._7,
178,Miscgraphics._8,
179,Miscgraphics._9,
180,Miscgraphics._10,
181,Miscgraphics._11,
182,Miscgraphics._12,
183,Miscgraphics._13,
184,Miscgraphics._14,
185,Miscgraphics2._0,
186,Miscgraphics2._1,
187,Miscgraphics2._2,
188,Miscgraphics2._3,
189,Miscgraphics2._4,
190,Miscgraphics2._5,
191,Miscgraphics2._6,
192,Miscgraphics2._7,
193,Miscgraphics2._8,
194,Miscgraphics2._9,
195,Miscgraphics3._0,
196,Miscgraphics3._1,
197,Staticons._0,
198,Staticons._1,
199,Staticons._2,
200,Staticons._3,
201,Staticons._4,
202,Staticons._5,
203,Staticons._6,
204,Staticons._7,
205,Staticons._8,
206,Staticons._9,
207,Staticons._10,
208,Staticons._11,
209,Staticons._12,
210,Staticons._13,
211,Staticons._14,
212,Staticons._15,
213,Staticons._16,
214,Staticons._17,
215,Staticons2._0,
216,Staticons2._1,
217,Staticons2._2,
218,Staticons2._3,
219,Staticons2._4,
220,Staticons2._5,
221,Staticons2._6,
222,Staticons2._7,
223,Staticons2._8,
224,Staticons2._9,
225,Staticons2._10,
226,Staticons2._11,
227,Staticons2._12,
228,Staticons2._13,
229,Staticons2._14,
230,Staticons2._15,
231,Staticons2._16,
232,Staticons2._17,
233,Combaticons._0,
234,Combaticons._1,
235,Combaticons._2,
236,Combaticons._3,
237,Combaticons._4,
238,Combaticons._5,
239,Combaticons._6,
240,Combaticons._7,
241,Combaticons._8,
242,Combaticons._9,
243,Combaticons._10,
244,Combaticons._11,
245,Combaticons._12,
246,Combaticons._13,
247,Combaticons._14,
248,Combaticons._15,
249,Combaticons._16,
250,Combaticons._17,
251,Combaticons._18,
252,Combaticons._19,
253,Combaticons2._0,
254,Combaticons2._1,
255,Combaticons2._2,
256,Combaticons2._3,
257,Combaticons2._4,
258,Combaticons2._5,
259,Combaticons2._6,
260,Combaticons2._7,
261,Combaticons2._8,
262,Combaticons2._9,
263,Combaticons2._10,
264,Combaticons2._11,
265,Combaticons2._12,
266,Combaticons2._13,
267,Combaticons2._14,
268,Combaticons2._15,
269,Combaticons2._16,
270,Combaticons2._17,
271,Combaticons2._18,
272,Combaticons2._19,
273,Combaticons3._0,
274,Combaticons3._1,
275,Combaticons3._2,
276,Combaticons3._3,
277,Combaticons3._4,
278,Combaticons3._5,
279,Combaticons3._6,
280,Combaticons3._7,
281,Combaticons3._8,
282,Combaticons3._9,
283,Combaticons3._10,
284,Combaticons3._11,
285,Combaticons3._12,
286,Combaticons3._13,
287,Combaticons3._14,
288,Combaticons3._15,
289,Combaticons3._16,
290,Combaticons3._17,
291,Combaticons3._18,
292,Combaticons3._19,
293,Combatboxes._0,
294,Combatboxes._1,
295,Combatboxes._2,
296,Combatboxes._3,
297,TRADEBACKING,
298,HeadiconsPkInterface._14,
299,CROSS,
300,MAPDOTS,
301,Sworddecor._0,
302,Sworddecor._1,
303,Sworddecor._2,
304,Sworddecor._3,
305,_2XStandardSpellsOn._13,
306,_2XStandardSpellsOn._14,
307,_2XStandardSpellsOn._15,
308,LEFTARROW,
309,RIGHTARROW,
310,Steelborder._0,
311,Steelborder._1,
312,Steelborder._2,
313,Steelborder._3,
314,Steelborder2._0,
315,Steelborder2._1,
316,SCROLLBAR,
317,MAPSCENE,
318,INFERNAL_CAPE,
319,Magicon2._0,
320,Magicon2._1,
321,Magicon2._2,
322,Magicon2._3,
323,Magicon2._4,
324,Magicon2._5,
325,Magicon2._6,
326,Magicon2._7,
327,Magicon2._8,
328,Magicon2._9,
329,Magicon2._10,
330,Magicon2._11,
331,Magicon2._12,
332,Magicon2._13,
333,Magicon2._14,
334,Magicon2._15,
335,Magicon2._16,
336,Magicon2._17,
337,Magicon2._18,
338,Magicon2._19,
339,Magicon2._20,
340,Magicon2._21,
341,Magicon2._22,
342,Magicon2._23,
343,Magicon2._24,
344,Magicon2._25,
345,Magicon2._26,
346,Magicon2._27,
347,Magicon2._28,
348,Magicon2._29,
349,Magicon2._30,
350,Magicon2._31,
351,Magicon2._32,
352,Magicon2._33,
353,Magicon2._34,
354,Magicon2._35,
355,Magicon2._36,
356,Magicon2._37,
357,Magicon2._38,
358,Magicon2._39,
359,Magicon2._40,
360,Magicon2._41,
361,Magicon2._42,
362,Magicon2._43,
363,Magicon2._44,
364,Magicon2._45,
365,Magicon2._46,
366,Magicon2._47,
367,Magicon2._48,
368,Magicon2._49,
369,Magicoff2._0,
370,Magicoff2._1,
371,Magicoff2._2,
372,Magicoff2._3,
373,Magicoff2._4,
374,Magicoff2._5,
375,Magicoff2._6,
376,Magicoff2._7,
377,Magicoff2._8,
378,Magicoff2._9,
379,Magicoff2._10,
380,Magicoff2._11,
381,Magicoff2._12,
382,Magicoff2._13,
383,Magicoff2._14,
384,Magicoff2._15,
385,Magicoff2._16,
386,Magicoff2._17,
387,Magicoff2._18,
388,Magicoff2._19,
389,Magicoff2._20,
390,Magicoff2._21,
391,Magicoff2._22,
392,Magicoff2._23,
393,Magicoff2._24,
394,Magicoff2._25,
395,Magicoff2._26,
396,Magicoff2._27,
397,Magicoff2._28,
398,Magicoff2._29,
399,Magicoff2._30,
400,Magicoff2._31,
401,Magicoff2._32,
402,Magicoff2._33,
403,Magicoff2._34,
404,Magicoff2._35,
405,Magicoff2._36,
406,Magicoff2._37,
407,Magicoff2._38,
408,Magicoff2._39,
409,Magicoff2._40,
410,Magicoff2._41,
411,Magicoff2._42,
412,Magicoff2._43,
413,Magicoff2._44,
414,Magicoff2._45,
415,Magicoff2._46,
416,Magicoff2._47,
417,Magicoff2._48,
418,Magicoff2._49,
419,GnomeballButtons._0,
420,GnomeballButtons._1,
421,GnomeballButtons._2,
422,MAPMARKER,
423,MOD_ICONS,
424,MAPEDGE,
425,LEFTARROW_SMALL,
426,RIGHTARROW_SMALL,
427,BLACKMARK,
428,BUTTON_BROWN,
429,BUTTON_RED,
430,CHEST,
431,COINS,
432,KEY,
433,KEYS,
434,PEN,
435,STARTGAME,
436,TITLESCROLL,
437,LETTER,
438,BUTTON_BROWN_BIG,
439,HEADICONS_PK,
440,HEADICONS_PRAYER,
441,HEADICONS_HINT,
442,OVERLAY_MULTIWAY,
443,OVERLAY_DUEL,
444,TEX_BROWN,
445,TEX_RED,
446,NUMBER_BUTTON,
447,DOOR,
448,WATER,
449,WALL,
450,PLANKS,
451,ELFDOOR,
452,DARKWOOD,
453,ROOF,
454,DAMAGE,
455,LEAFYTREE,
456,TREESTUMP,
457,MOSSY,
458,RAILINGS,
459,PAINTING1,
460,PAINTING2,
461,MARBLE,
462,WOOD2,
463,FOUNTAIN,
464,THATCHED,
465,CARGONET,
466,BOOKS,
467,ELFROOF2,
468,ELFWOOD,
469,MOSSYBRICKS,
470,GUNGYWATER,
471,WEB,
472,ELFROOF,
473,MOSSYDAMAGE,
474,BAMBOO,
475,WILLOWTEX3,
476,LAVA,
477,BARK,
478,MAPLETREE,
479,STARS,
480,ELFBRICK,
481,ELFWALL,
482,CHAINMAIL,
483,MUMMY,
484,ELFPAINTING,
485,LAVA_ANIMATED,
486,LEAFYTREE_DISEASED,
487,STONE_TILES,
488,ROOF2,
489,RedGreenArrows._0,
490,PEBBLEFLOOR,
491,WALL_WHITE,
492,GLYPHS,
493,CANVAS,
494,P11_FULL,
495,P12_FULL,
496,B12_FULL,
497,Q8_FULL,
498,LOGO,
499,TITLEBOX,
500,TITLEBUTTON,
501,RUNES,
502,Prayeron._20,
503,Prayeron._21,
504,Prayeron._22,
505,Prayeron._23,
506,Prayeroff._20,
507,Prayeroff._21,
508,Prayeroff._22,
509,Prayeroff._23,
510,MapdotsInterface._0,
511,MapdotsInterface._1,
512,MapdotsInterface._2,
513,MapdotsInterface._3,
514,MapdotsInterface._4,
515,CrossInterface._0,
516,CrossInterface._1,
517,CrossInterface._2,
518,CrossInterface._3,
519,CrossInterface._4,
520,CrossInterface._5,
521,CrossInterface._6,
522,CrossInterface._7,
523,HeadiconsPkInterface._0,
524,HeadiconsPkInterface._1,
525,HeadiconsPkInterface._2,
526,HeadiconsPkInterface._3,
527,HeadiconsPkInterface._4,
528,HeadiconsPkInterface._5,
529,HLOADING2,
530,CRAG,
531,WATER_ANIMATED,
532,MARBLE_POH,
533,OLD_TILES,
534,RedGreenArrows._1,
535,CloseButtons._0,
536,CloseButtons._1,
537,CloseButtons._2,
538,CloseButtons._3,
539,CloseButtons._4,
540,CloseButtons._5,
541,CloseButtons._6,
542,CloseButtons._7,
543,LunarMagicOn._0,
544,LunarMagicOn._1,
545,LunarMagicOn._2,
546,LunarMagicOn._3,
547,LunarMagicOn._4,
548,LunarMagicOn._5,
549,LunarMagicOn._6,
550,LunarMagicOn._7,
551,LunarMagicOn._8,
552,LunarMagicOn._9,
553,LunarMagicOn._10,
554,LunarMagicOn._11,
555,LunarMagicOn._12,
556,LunarMagicOn._13,
557,LunarMagicOn._14,
558,LunarMagicOn._15,
559,LunarMagicOn._16,
560,LunarMagicOn._17,
561,LunarMagicOn._18,
562,LunarMagicOn._19,
563,LunarMagicOn._20,
564,LunarMagicOn._21,
565,LunarMagicOn._22,
566,LunarMagicOn._23,
567,LunarMagicOn._24,
568,LunarMagicOn._25,
569,LunarMagicOn._26,
570,LunarMagicOn._27,
571,LunarMagicOn._28,
572,LunarMagicOn._29,
573,LunarMagicOn._30,
574,LunarMagicOn._31,
575,LunarMagicOn._32,
576,LunarMagicOn._33,
577,LunarMagicOn._34,
578,LunarMagicOn._35,
579,LunarMagicOn._36,
580,LunarMagicOn._37,
581,LunarMagicOn._38,
582,LunarMagicOn._39,
583,LunarMagicOn._40,
