id,runelite_const,comment
0,FAIRYRINGS_SCROLLPOS,
1,TOOLTIP_TIME,
2,TOOLTIP_BUILT,
3,CHATOUT_READPOS,
4,CHATOUT_WRITEPOS,
5,MESLAYERMODE,
6,SNAPSHOT_MUTE,
7,CHAT_LASTSCROLLPOS,
8,CHAT_LASTSCROLLSIZE,
9,FRIENDS_LASTSCROLLPOS,
10,QJ_LASTSCROLLPOS,
11,SNAPSHOT_OPEN,
12,TRADE_SLOT_0_CHANGED,
13,TRADE_SLOT_1_CHANGED,
14,TRADE_SLOT_2_CHANGED,
15,TRADE_SLOT_3_CHANGED,
16,TRADE_SLOT_4_CHANGED,
17,TRADE_SLOT_5_CHANGED,
18,TRADE_SLOT_6_CHANGED,
19,TRADE_SLOT_7_CHANGED,
20,TRADE_SLOT_8_CHANGED,
21,TRADE_SLOT_9_CHANGED,
22,TRADE_SLOT_10_CHANGED,
23,TRADE_SLOT_11_CHANGED,
24,TRADE_SLOT_12_CHANGED,
25,TRADE_SLOT_13_CHANGED,
26,TRADE_SLOT_14_CHANGED,
27,TRADE_SLOT_15_CHANGED,
28,TRADE_SLOT_16_CHANGED,
29,TRADE_SLOT_17_CHANGED,
30,TRADE_SLOT_18_CHANGED,
31,TRADE_SLOT_19_CHANGED,
32,TRADE_SLOT_20_CHANGED,
33,TRADE_SLOT_21_CHANGED,
34,TRADE_SLOT_22_CHANGED,
35,TRADE_SLOT_23_CHANGED,
36,TRADE_SLOT_24_CHANGED,
37,TRADE_SLOT_25_CHANGED,
38,TRADE_SLOT_26_CHANGED,
39,TRADE_SLOT_27_CHANGED,
40,KR_DISPLAY_RIDDLE,
41,CHAT_VIEW,
42,CHAT_HIGHLIGHT,
43,POLL_ID,
44,CHAT_ALERT_GAME,
45,CHAT_ALERT_PUBLIC,
46,CHAT_ALERT_PRIVATE,
47,CHAT_ALERT_CLAN,
48,CHAT_ALERT_TRADE,
49,POLL_YPOS,
50,GODWARS_DARKNESS,
51,BANK_SCROLLPOS,
52,COMBAT_LEVEL,
53,COMBAT_INSIDEWILDERNESS,
54,FAIRYRINGS_SORT,
55,CHAT_LASTBROADCAST_TIME,
56,MESLAYER_INITLASTNAMES,
57,CHAT_LASTALERTCHECK,
58,POH_COSTUME_ROOM_SCROLL,
59,CLANWARS_OPPONENTCHANGETIME,
60,CHAT_TABFEEDBACKSPAM,
61,CHAT_LASTOUTPUT,
62,AUTOCHAT_PAUSE,
63,POLL_SCROLL,
64,GROUPING_GAMEID,
65,CHAT_FORCE_CHATBOX_REBUILD,
66,OBJDIALOG_UPDATEDELAY,
67,BONDIF_CONVERT_COUNT_CS,
68,BONDIF_CONVERT_PERBOND_CS,
69,WORLDSWITCHER_SCROLLPOS,
70,XPDROPS_NEXTLAYER,
71,XPDROPS_QUEUE,
72,XPDROPS_LASTSKILL,
73,CAMERA_ZOOM_SMALL,
74,CAMERA_ZOOM_BIG,
75,CAMERA_ZOOM_MOUSE_ENABLED,
76,XPDROPS_FIRSTINIT,
77,FARMING_VIEW_SCROLLPOS,
78,DEADMAN_INSIDESAFEZONE,
79,ZEAH_FAVOUR_CURRENTHOUSE,
80,LUNAR_CONTACTNPC_SCROLLPOS,
81,SLOTINFO_00,
82,SLOTINFO_01,
83,SLOTINFO_02,
84,SLOTINFO_03,
85,SLOTINFO_04,
86,SLOTINFO_05,
87,SLOTINFO_06,
88,SLOTINFO_07,
89,SLOTINFO_08,
90,SLOTINFO_09,
91,SLOTINFO_10,
92,SLOTINFO_11,
93,SLOTINFO_12,
94,SLOTINFO_13,
95,SLOTINFO_14,
96,SLOTINFO_15,
97,SLOTINFO_16,
98,SLOTINFO_17,
99,SLOTINFO_18,
100,SLOTINFO_19,
101,SLOTINFO_20,
102,SLOTINFO_21,
103,PLAYERMEMBER,
104,SLOTINFO_22,
105,SLOTINFO_23,
106,SLOTINFO_24,
107,SLOTINFO_25,
108,SLOTINFO_26,
109,SLOTINFO_27,
110,SLOTINFO_OTHER_00,
111,SLOTINFO_OTHER_01,
112,SLOTINFO_OTHER_02,
113,SLOTINFO_OTHER_03,
114,SLOTINFO_OTHER_04,
115,SLOTINFO_OTHER_05,
116,SLOTINFO_OTHER_06,
117,SLOTINFO_OTHER_07,
